#,INCIDENT TITLE,LOCATION,DESCRIPTION,INCIDENT DATE,CATEGORY,LATITUDE,LONGITUDE,APPROVED,VERIFIED
270,Canwood,Canwood,Canwood,12-04-24 12:49,Prince Albert Parkland,53.36,-106.60,YES,YES
271,Capasin,Capasin,Capasin,12-04-24 12:49,Prince Albert Parkland,53.60,-107.38,YES,YES
272,Cardell,Cardell,Cardell,12-04-24 12:49,Cypress,49.93,-109.31,YES,YES
273,Cardross,Cardross,Cardross,12-04-24 12:49,Five Hills,49.81,-105.61,YES,YES
274,Carievale,Carievale,Carievale,12-04-24 12:49,Sun Country,49.16,-101.63,YES,YES
275,Carlea,Carlea,Carlea,12-04-24 12:49,Kelsey Trail,53.15,-103.90,YES,YES
276,Carlton,Carlton,Carlton,12-04-24 12:49,Saskatoon,52.83,-106.50,YES,YES
277,Carlyle,Carlyle,Carlyle,12-04-24 12:49,Sun Country,49.63,-102.26,YES,YES
278,Carlyle Lake Resort,Carlyle Lake Resort,Carlyle Lake Resort,12-04-24 12:49,Sun Country,49.75,-102.26,YES,YES
279,Carmel,Carmel,Carmel,12-04-24 12:49,Saskatoon,52.23,-105.35,YES,YES
280,Carmichael,Carmichael,Carmichael,12-04-24 12:49,Cypress,50.05,-108.65,YES,YES
281,Carnagh,Carnagh,Carnagh,12-04-24 12:49,Cypress,49.78,-108.93,YES,YES
282,Carnduff,Carnduff,Carnduff,12-04-24 12:49,Sun Country,49.16,-101.80,YES,YES
283,Caron,Caron,Caron,12-04-24 12:49,Five Hills,50.46,-105.86,YES,YES
284,Caronport,Caronport,Caronport,12-04-24 12:49,Five Hills,50.45,-105.81,YES,YES
285,Carpenter,Carpenter,Carpenter,12-04-24 12:49,Saskatoon,52.58,-105.91,YES,YES
286,Carragana,Carragana,Carragana,12-04-24 12:49,Kelsey Trail,52.58,-103.10,YES,YES
287,Carrot River,Carrot River,Carrot River,12-04-24 12:49,Kelsey Trail,53.28,-103.58,YES,YES
288,Carruthers,Carruthers,Carruthers,12-04-24 12:49,Prairie North,52.86,-109.26,YES,YES
289,Cater,Cater,Cater,12-04-24 12:49,Prince Albert Parkland,53.36,-108.03,YES,YES
290,Catherwood,Catherwood,Catherwood,12-04-24 12:49,Heartland,51.96,-107.56,YES,YES
291,Cathkin,Cathkin,Cathkin,12-04-24 12:49,Heartland,52.25,-108.70,YES,YES
292,Cavalier,Cavalier,Cavalier,12-04-24 12:49,Prairie North,53.08,-108.55,YES,YES
293,Cavell,Cavell,Cavell,12-04-24 12:49,Heartland,52.26,-108.58,YES,YES
294,Caxton,Caxton,Caxton,12-04-24 12:49,Sun Country,49.68,-103.15,YES,YES
295,Cazalet,Cazalet,Cazalet,12-04-24 12:49,Heartland,52.03,-107.80,YES,YES
296,Ceba,Ceba,Ceba,12-04-24 12:49,Kelsey Trail,53.08,-102.21,YES,YES
297,Cecil,Cecil,Cecil,12-04-24 12:49,Prince Albert Parkland,53.20,-105.48,YES,YES
298,Cedar Villa Estates,Cedar Villa Estates,Cedar Villa Estates,12-04-24 12:49,Saskatoon,52.10,-106.76,YES,YES
299,Cedoux,Cedoux,Cedoux,12-04-24 12:49,Sun Country,49.88,-103.86,YES,YES
300,Ceepee,Ceepee,Ceepee,12-04-24 12:49,Saskatoon,52.38,-107.13,YES,YES
301,Celtic,Celtic,Celtic,12-04-24 12:49,Prairie North,53.45,-109.28,YES,YES
302,Central Butte,Central Butte,Central Butte,12-04-24 12:49,Five Hills,50.80,-106.51,YES,YES
303,Ceylon,Ceylon,Ceylon,12-04-24 12:49,Sun Country,49.45,-104.60,YES,YES
304,Chagoness,Chagoness,Chagoness,12-04-24 12:49,Kelsey Trail,52.63,-104.21,YES,YES
305,Chamberlain,Chamberlain,Chamberlain,12-04-24 12:49,Five Hills,50.85,-105.56,YES,YES
306,Chambers,Chambers,Chambers,12-04-24 12:49,Saskatoon,51.86,-107.11,YES,YES
307,Chaplin,Chaplin,Chaplin,12-04-24 12:49,Five Hills,50.46,-106.66,YES,YES
308,Chelan,Chelan,Chelan,12-04-24 12:49,Kelsey Trail,52.61,-103.38,YES,YES
309,Chemong,Chemong,Chemong,12-04-24 12:49,Kelsey Trail,53.20,-102.10,YES,YES
310,Cherry Ridge,Cherry Ridge,Cherry Ridge,12-04-24 12:49,Kelsey Trail,53.40,-104.16,YES,YES
311,Cheviot,Cheviot,Cheviot,12-04-24 12:49,Saskatoon,52.03,-106.36,YES,YES
312,Chipperfield,Chipperfield,Chipperfield,12-04-24 12:49,Heartland,51.28,-108.25,YES,YES
313,Chitek,Chitek,Chitek,12-04-24 12:49,Prince Albert Parkland,53.80,-107.75,YES,YES
314,Chitek Lake,Chitek Lake,Chitek Lake,12-04-24 12:49,Prince Albert Parkland,53.75,-107.71,YES,YES
315,Choiceland,Choiceland,Choiceland,12-04-24 12:49,Kelsey Trail,53.48,-104.48,YES,YES
316,Chorney Beach,Chorney Beach,Chorney Beach,12-04-24 12:49,Saskatoon,51.80,-103.55,YES,YES
317,Chortitz,Chortitz,Chortitz,12-04-24 12:49,Cypress,50.10,-107.65,YES,YES
318,Christopher Lake,Christopher Lake,Christopher Lake,12-04-24 12:49,Prince Albert Parkland,53.53,-105.80,YES,YES
319,Chrysler,Chrysler,Chrysler,12-04-24 12:49,Sunrise,51.16,-102.40,YES,YES
320,Churchbridge,Churchbridge,Churchbridge,12-04-24 12:49,Sunrise,50.90,-101.90,YES,YES
321,Claggett,Claggett,Claggett,12-04-24 12:49,Kelsey Trail,52.81,-104.81,YES,YES
322,Clair,Clair,Clair,12-04-24 12:49,Saskatoon,52.01,-104.08,YES,YES
323,Clark Bridge,Clark Bridge,Clark Bridge,12-04-24 12:49,Five Hills,49.26,-105.56,YES,YES
324,Clarkboro,Clarkboro,Clarkboro,12-04-24 12:49,Saskatoon,52.31,-106.45,YES,YES
325,Clark's Crossing,Clark's Crossing,Clark's Crossing,12-04-24 12:49,Saskatoon,52.25,-106.61,YES,YES
326,Clashmoor,Clashmoor,Clashmoor,12-04-24 12:49,Kelsey Trail,52.93,-103.75,YES,YES
327,Clavet,Clavet,Clavet,12-04-24 12:49,Saskatoon,52.00,-106.38,YES,YES
328,Claybank,Claybank,Claybank,12-04-24 12:49,Five Hills,50.05,-105.23,YES,YES
329,Claydon,Claydon,Claydon,12-04-24 12:49,Cypress,49.20,-108.90,YES,YES
330,Clayridge,Clayridge,Clayridge,12-04-24 12:49,Regina Qu'Appelle,50.43,-102.08,YES,YES
331,Claytonville,Claytonville,Claytonville,12-04-24 12:49,Prince Albert Parkland,53.25,-105.40,YES,YES
332,Clearfield,Clearfield,Clearfield,12-04-24 12:49,Sun Country,49.51,-104.11,YES,YES
333,Clearsand Beach,Clearsand Beach,Clearsand Beach,12-04-24 12:49,Prince Albert Parkland,53.56,-105.85,YES,YES
334,Cleeves,Cleeves,Cleeves,12-04-24 12:49,Prairie North,53.46,-109.05,YES,YES
335,Clemenceau,Clemenceau,Clemenceau,12-04-24 12:49,Kelsey Trail,52.66,-102.53,YES,YES
336,Clemens,Clemens,Clemens,12-04-24 12:49,Kelsey Trail,52.78,-104.58,YES,YES
337,Climax,Climax,Climax,12-04-24 12:49,Cypress,49.20,-108.38,YES,YES
338,Cloan,Cloan,Cloan,12-04-24 12:49,Heartland,52.61,-108.76,YES,YES
339,Clonmel,Clonmel,Clonmel,12-04-24 12:49,Sunrise,51.08,-102.26,YES,YES
340,Clouston,Clouston,Clouston,12-04-24 12:49,Prince Albert Parkland,53.10,-105.85,YES,YES
341,Coalfields,Coalfields,Coalfields,12-04-24 12:49,Sun Country,49.10,-102.73,YES,YES
342,Cochin,Cochin,Cochin,12-04-24 12:49,Prairie North,53.08,-108.33,YES,YES
343,Coderre,Coderre,Coderre,12-04-24 12:49,Five Hills,50.13,-106.38,YES,YES
344,Codette,Codette,Codette,12-04-24 12:49,Kelsey Trail,53.28,-104.03,YES,YES
345,Cole Bay,Cole Bay,Cole Bay,12-04-24 12:49,Keewatin YatthT,55.09,-108.33,YES,YES
346,Colesdale Park,Colesdale Park,Colesdale Park,12-04-24 12:49,Saskatoon,50.95,-105.15,YES,YES
347,Coleville,Coleville,Coleville,12-04-24 12:49,Heartland,51.71,-109.25,YES,YES
348,Colfax,Colfax,Colfax,12-04-24 12:49,Sun Country,49.95,-103.98,YES,YES
349,Colgate,Colgate,Colgate,12-04-24 12:49,Sun Country,49.40,-103.88,YES,YES
350,Colmer,Colmer,Colmer,12-04-24 12:49,Sunrise,50.91,-102.96,YES,YES
351,Colonsay,Colonsay,Colonsay,12-04-24 12:49,Saskatoon,51.98,-105.88,YES,YES
352,Cominco,Cominco,Cominco,12-04-24 12:49,Regina Qu'Appelle,50.46,-104.73,YES,YES
353,Condie,Condie,Condie,12-04-24 12:49,Regina Qu'Appelle,50.55,-104.73,YES,YES
354,Congress,Congress,Congress,12-04-24 12:49,Five Hills,49.76,-106.01,YES,YES
355,Connell Creek,Connell Creek,Connell Creek,12-04-24 12:49,Kelsey Trail,53.15,-103.36,YES,YES
356,Conquest,Conquest,Conquest,12-04-24 12:49,Heartland,51.53,-107.23,YES,YES
357,Constance,Constance,Constance,12-04-24 12:49,Five Hills,49.20,-105.81,YES,YES
358,Consul,Consul,Consul,12-04-24 12:49,Cypress,49.30,-109.51,YES,YES
359,Cookson,Cookson,Cookson,12-04-24 12:49,Prince Albert Parkland,53.53,-106.31,YES,YES
360,Coothill,Coothill,Coothill,12-04-24 12:49,Regina Qu'Appelle,50.23,-101.88,YES,YES
361,Copeland,Copeland,Copeland,12-04-24 12:49,Saskatoon,51.58,-104.51,YES,YES
362,Coppen,Coppen,Coppen,12-04-24 12:49,Five Hills,49.95,-106.63,YES,YES
363,Coriander,Coriander,Coriander,12-04-24 12:49,Cypress,49.30,-107.56,YES,YES
364,Corinne,Corinne,Corinne,12-04-24 12:49,Regina Qu'Appelle,50.05,-104.61,YES,YES
365,Corning,Corning,Corning,12-04-24 12:49,Sun Country,49.96,-102.96,YES,YES
366,Coronach,Coronach,Coronach,12-04-24 12:49,Sun Country,49.11,-105.51,YES,YES
367,Cory,Cory,Cory,12-04-24 12:49,Saskatoon,52.11,-106.83,YES,YES
368,Cosine,Cosine,Cosine,12-04-24 12:49,Heartland,52.13,-109.93,YES,YES
369,Cote,Cote,Cote,12-04-24 12:49,Sunrise,51.51,-101.80,YES,YES
370,Coteau Beach,Coteau Beach,Coteau Beach,12-04-24 12:49,Heartland,51.16,-106.81,YES,YES
371,Cotham,Cotham,Cotham,12-04-24 12:49,Sunrise,50.61,-102.58,YES,YES
372,Court,Court,Court,12-04-24 12:49,Heartland,51.85,-109.86,YES,YES
373,Courval,Courval,Courval,12-04-24 12:49,Five Hills,50.16,-106.25,YES,YES
374,Cowper,Cowper,Cowper,12-04-24 12:49,Sun Country,49.66,-102.11,YES,YES
375,Coxby,Coxby,Coxby,12-04-24 12:49,Prince Albert Parkland,53.11,-105.23,YES,YES
376,Craigavon,Craigavon,Craigavon,12-04-24 12:49,Prince Albert Parkland,52.98,-108.01,YES,YES
377,Craik,Craik,Craik,12-04-24 12:49,Five Hills,51.05,-105.81,YES,YES
378,Cramersburg,Cramersburg,Cramersburg,12-04-24 12:49,Cypress,50.90,-108.76,YES,YES
379,Crane Junction,Crane Junction,Crane Junction,12-04-24 12:49,Kelsey Trail,52.88,-103.71,YES,YES
380,Crane Valley,Crane Valley,Crane Valley,12-04-24 12:49,Five Hills,49.75,-105.53,YES,YES
381,Craven,Craven,Craven,12-04-24 12:49,Regina Qu'Appelle,50.70,-104.80,YES,YES
382,Cree Lake,Cree Lake,Cree Lake,12-04-24 12:49,Keewatin YatthT,57.36,-106.83,YES,YES
383,Creelman,Creelman,Creelman,12-04-24 12:49,Sun Country,49.81,-103.30,YES,YES
384,Creighton,Creighton,Creighton,12-04-24 12:49,Mamawetan Churchill River,54.75,-101.90,YES,YES
385,Crescent Lake,Crescent Lake,Crescent Lake,12-04-24 12:49,Sunrise,50.98,-102.48,YES,YES
386,Crestwynd,Crestwynd,Crestwynd,12-04-24 12:49,Five Hills,50.10,-105.68,YES,YES
387,Crichton,Crichton,Crichton,12-04-24 12:49,Cypress,49.73,-107.88,YES,YES
388,Crooked River,Crooked River,Crooked River,12-04-24 12:49,Kelsey Trail,52.85,-103.73,YES,YES
389,Cross,Cross,Cross,12-04-24 12:49,Cypress,49.96,-109.23,YES,YES
390,Crutwell,Crutwell,Crutwell,12-04-24 12:49,Prince Albert Parkland,53.21,-106.06,YES,YES
391,Crystal Beach,Crystal Beach,Crystal Beach,12-04-24 12:49,Heartland,51.71,-107.60,YES,YES
392,Crystal Hill,Crystal Hill,Crystal Hill,12-04-24 12:49,Five Hills,49.83,-105.25,YES,YES
393,Crystal Lake,Crystal Lake,Crystal Lake,12-04-24 12:49,Sunrise,51.85,-102.43,YES,YES
394,Crystal Springs,Crystal Springs,Crystal Springs,12-04-24 12:49,Prince Albert Parkland,52.80,-105.36,YES,YES
395,Cudsaskwa,Cudsaskwa,Cudsaskwa,12-04-24 12:49,Saskatoon,52.65,-105.61,YES,YES
396,Cudworth,Cudworth,Cudworth,12-04-24 12:49,Saskatoon,52.50,-105.73,YES,YES
397,Cudworth Junction,Cudworth Junction,Cudworth Junction,12-04-24 12:49,Prince Albert Parkland,53.18,-105.68,YES,YES
398,Cuffley,Cuffley,Cuffley,12-04-24 12:49,Prairie North,53.60,-108.76,YES,YES
399,Cullen,Cullen,Cullen,12-04-24 12:49,Sun Country,49.36,-102.95,YES,YES
400,Cumberland House,Cumberland House,Cumberland House,12-04-24 12:49,Kelsey Trail,53.96,-102.26,YES,YES
401,Cummings,Cummings,Cummings,12-04-24 12:49,Cypress,50.00,-109.95,YES,YES
402,Cunliffe,Cunliffe,Cunliffe,12-04-24 12:49,Prince Albert Parkland,53.60,-107.28,YES,YES
403,Cupar,Cupar,Cupar,12-04-24 12:49,Regina Qu'Appelle,50.95,-104.21,YES,YES
404,Cut Knife,Cut Knife,Cut Knife,12-04-24 12:49,Prairie North,52.75,-109.01,YES,YES
405,Cutarm,Cutarm,Cutarm,12-04-24 12:49,Sunrise,51.66,-101.83,YES,YES
406,Cutbank,Cutbank,Cutbank,12-04-24 12:49,Heartland,51.30,-106.85,YES,YES
407,Cuthbert,Cuthbert,Cuthbert,12-04-24 12:49,Heartland,51.23,-109.96,YES,YES
408,Cutoff,Cutoff,Cutoff,12-04-24 12:49,Prairie North,52.73,-109.00,YES,YES
409,Cuvier,Cuvier,Cuvier,12-04-24 12:49,Kelsey Trail,52.38,-104.08,YES,YES
410,Cymric,Cymric,Cymric,12-04-24 12:49,Saskatoon,51.23,-104.98,YES,YES
411,Dacer,Dacer,Dacer,12-04-24 12:49,Prairie North,52.68,-108.26,YES,YES
412,Dafoe,Dafoe,Dafoe,12-04-24 12:49,Saskatoon,51.75,-104.53,YES,YES
413,Dahinda,Dahinda,Dahinda,12-04-24 12:49,Sun Country,49.73,-105.05,YES,YES
414,Dahlton,Dahlton,Dahlton,12-04-24 12:49,Kelsey Trail,52.45,-104.10,YES,YES
415,Dalmeny,Dalmeny,Dalmeny,12-04-24 12:49,Saskatoon,52.33,-106.76,YES,YES
416,Dalzell,Dalzell,Dalzell,12-04-24 12:49,Sun Country,50.11,-102.75,YES,YES
417,Damour,Damour,Damour,12-04-24 12:49,Prince Albert Parkland,53.06,-107.00,YES,YES
418,Dana,Dana,Dana,12-04-24 12:49,Saskatoon,52.30,-105.70,YES,YES
419,Danbury,Danbury,Danbury,12-04-24 12:49,Sunrise,52.05,-102.25,YES,YES
420,Dandonneau,Dandonneau,Dandonneau,12-04-24 12:49,Sun Country,49.48,-104.20,YES,YES
421,Dankin,Dankin,Dankin,12-04-24 12:49,Heartland,51.21,-109.28,YES,YES
422,Daphne,Daphne,Daphne,12-04-24 12:49,Saskatoon,52.23,-104.50,YES,YES
423,D'Arcy,D'Arcy,D'Arcy,12-04-24 12:49,Heartland,51.46,-108.53,YES,YES
424,D'Arcy Station,D'Arcy Station,D'Arcy Station,12-04-24 12:49,Heartland,51.46,-108.53,YES,YES
425,Darlings Beach,Darlings Beach,Darlings Beach,12-04-24 12:49,Cypress,49.98,-107.93,YES,YES
426,Darmody,Darmody,Darmody,12-04-24 12:49,Five Hills,50.71,-106.28,YES,YES
427,Davidson,Davidson,Davidson,12-04-24 12:49,Heartland,51.26,-105.98,YES,YES
428,Davin,Davin,Davin,12-04-24 12:49,Regina Qu'Appelle,50.38,-104.11,YES,YES
429,Davis,Davis,Davis,12-04-24 12:49,Prince Albert Parkland,53.11,-105.65,YES,YES
430,Davyroyd,Davyroyd,Davyroyd,12-04-24 12:49,Five Hills,49.70,-105.73,YES,YES
431,Daylesford,Daylesford,Daylesford,12-04-24 12:49,Saskatoon,52.50,-104.91,YES,YES
432,Day's Beach,Day's Beach,Day's Beach,12-04-24 12:49,Prairie North,53.05,-108.35,YES,YES
433,Daysville,Daysville,Daysville,12-04-24 12:49,Prairie North,53.33,-108.71,YES,YES
434,Debden,Debden,Debden,12-04-24 12:49,Prince Albert Parkland,53.51,-106.88,YES,YES
435,Deborah,Deborah,Deborah,12-04-24 12:49,Sun Country,49.25,-102.51,YES,YES
436,Deer Creek,Deer Creek,Deer Creek,12-04-24 12:49,Prairie North,53.51,-109.56,YES,YES
437,Deer Ridge,Deer Ridge,Deer Ridge,12-04-24 12:49,Prince Albert Parkland,53.45,-106.10,YES,YES
438,Delisle,Delisle,Delisle,12-04-24 12:49,Saskatoon,51.91,-107.13,YES,YES
439,Delmas,Delmas,Delmas,12-04-24 12:49,Prairie North,52.93,-108.60,YES,YES
440,Delorme Beach,Delorme Beach,Delorme Beach,12-04-24 12:49,Prairie North,53.10,-108.38,YES,YES
441,Demaine,Demaine,Demaine,12-04-24 12:49,Heartland,50.90,-107.25,YES,YES
442,Denare Beach,Denare Beach,Denare Beach,12-04-24 12:49,Mamawetan Churchill River,54.66,-102.08,YES,YES
443,Dendron,Dendron,Dendron,12-04-24 12:49,Cypress,50.11,-107.11,YES,YES
444,Denholm,Denholm,Denholm,12-04-24 12:49,Prairie North,52.65,-108.01,YES,YES
445,Denny,Denny,Denny,12-04-24 12:49,Heartland,51.48,-107.21,YES,YES
446,Denzil,Denzil,Denzil,12-04-24 12:49,Heartland,52.23,-109.65,YES,YES
447,Dernic,Dernic,Dernic,12-04-24 12:49,Sunrise,51.73,-102.86,YES,YES
448,Deschambault Lake,Deschambault Lake,Deschambault Lake,12-04-24 12:49,Mamawetan Churchill River,54.91,-103.36,YES,YES
449,Descharme Lake,Descharme Lake,Descharme Lake,12-04-24 12:49,Keewatin YatthT,57.10,-109.20,YES,YES
450,Dewar Lake,Dewar Lake,Dewar Lake,12-04-24 12:49,Heartland,51.63,-109.63,YES,YES
451,Diana,Diana,Diana,12-04-24 12:49,Regina Qu'Appelle,50.13,-104.80,YES,YES
452,Dilke,Dilke,Dilke,12-04-24 12:49,Regina Qu'Appelle,50.86,-105.25,YES,YES
453,Dillabough,Dillabough,Dillabough,12-04-24 12:49,Kelsey Trail,52.55,-102.76,YES,YES
454,Dillon,Dillon,Dillon,12-04-24 12:49,Keewatin YatthT,55.93,-108.93,YES,YES
455,Dingley,Dingley,Dingley,12-04-24 12:49,Regina Qu'Appelle,50.51,-103.55,YES,YES
456,Dinsmore,Dinsmore,Dinsmore,12-04-24 12:49,Heartland,51.33,-107.43,YES,YES
457,Disley,Disley,Disley,12-04-24 12:49,Regina Qu'Appelle,50.63,-105.05,YES,YES
458,Ditton Park,Ditton Park,Ditton Park,12-04-24 12:49,Kelsey Trail,53.10,-103.83,YES,YES
459,Divide,Divide,Divide,12-04-24 12:49,Cypress,49.15,-109.13,YES,YES
460,Dixon,Dixon,Dixon,12-04-24 12:49,Saskatoon,52.20,-105.21,YES,YES
461,Dneiper,Dneiper,Dneiper,12-04-24 12:49,Sunrise,51.45,-102.20,YES,YES
462,Dodsland,Dodsland,Dodsland,12-04-24 12:49,Heartland,51.80,-108.81,YES,YES
463,Dollard,Dollard,Dollard,12-04-24 12:49,Cypress,49.61,-108.58,YES,YES
464,Domex,Domex,Domex,12-04-24 12:49,Sun Country,49.31,-102.65,YES,YES
465,Domremy,Domremy,Domremy,12-04-24 12:49,Saskatoon,52.78,-105.73,YES,YES
466,Donald Gunn,Donald Gunn,Donald Gunn,12-04-24 12:49,Sunrise,51.51,-102.66,YES,YES
467,Donavon,Donavon,Donavon,12-04-24 12:49,Saskatoon,51.80,-107.13,YES,YES
468,Doncrest,Doncrest,Doncrest,12-04-24 12:49,Kelsey Trail,52.61,-102.76,YES,YES
469,Donegal,Donegal,Donegal,12-04-24 12:49,Heartland,52.23,-109.46,YES,YES
470,Donwell,Donwell,Donwell,12-04-24 12:49,Sunrise,51.53,-102.35,YES,YES
471,Doonside,Doonside,Doonside,12-04-24 12:49,Sun Country,49.91,-101.81,YES,YES
472,Dore Lake,Dore Lake,Dore Lake,12-04-24 12:49,Keewatin YatthT,54.63,-107.40,YES,YES
473,Dorintosh,Dorintosh,Dorintosh,12-04-24 12:49,Prairie North,54.36,-108.63,YES,YES
474,Douglaston,Douglaston,Douglaston,12-04-24 12:49,Sun Country,49.40,-102.40,YES,YES
475,Downe,Downe,Downe,12-04-24 12:49,Heartland,51.85,-108.53,YES,YES
476,Drake,Drake,Drake,12-04-24 12:49,Saskatoon,51.75,-105.01,YES,YES
477,Dreghorn,Dreghorn,Dreghorn,12-04-24 12:49,Regina Qu'Appelle,50.43,-104.45,YES,YES
478,Drinkwater,Drinkwater,Drinkwater,12-04-24 12:49,Five Hills,50.30,-105.13,YES,YES
479,Driscol Lake,Driscol Lake,Driscol Lake,12-04-24 12:49,Cypress,49.55,-107.78,YES,YES
480,Driver,Driver,Driver,12-04-24 12:49,Heartland,51.68,-109.38,YES,YES
481,Drobot,Drobot,Drobot,12-04-24 12:49,Sunrise,51.55,-102.83,YES,YES
482,Droxford,Droxford,Droxford,12-04-24 12:49,Five Hills,50.33,-106.76,YES,YES
483,Druid,Druid,Druid,12-04-24 12:49,Heartland,51.80,-108.80,YES,YES
484,Dubuc,Dubuc,Dubuc,12-04-24 12:49,Sunrise,50.68,-102.46,YES,YES
485,Duck Lake,Duck Lake,Duck Lake,12-04-24 12:49,Saskatoon,52.81,-106.23,YES,YES
486,Dudley,Dudley,Dudley,12-04-24 12:49,Heartland,50.93,-107.18,YES,YES
487,Duff,Duff,Duff,12-04-24 12:49,Sunrise,50.88,-103.08,YES,YES
488,Dulwich,Dulwich,Dulwich,12-04-24 12:49,Prairie North,53.26,-108.83,YES,YES
489,Dumas,Dumas,Dumas,12-04-24 12:49,Sun Country,49.95,-102.16,YES,YES
490,Dumble,Dumble,Dumble,12-04-24 12:49,Prince Albert Parkland,53.66,-106.95,YES,YES
491,Dummer,Dummer,Dummer,12-04-24 12:49,Regina Qu'Appelle,49.85,-104.83,YES,YES
492,Dunblane,Dunblane,Dunblane,12-04-24 12:49,Heartland,51.18,-106.86,YES,YES
493,Duncairn,Duncairn,Duncairn,12-04-24 12:49,Cypress,50.08,-108.03,YES,YES
494,Dundurn,Dundurn,Dundurn,12-04-24 12:49,Saskatoon,51.81,-106.50,YES,YES
495,Dunelm,Dunelm,Dunelm,12-04-24 12:49,Cypress,50.18,-107.81,YES,YES
496,Dunfermline,Dunfermline,Dunfermline,12-04-24 12:49,Saskatoon,52.13,-107.03,YES,YES
497,Dunkirk,Dunkirk,Dunkirk,12-04-24 12:49,Five Hills,50.03,-105.71,YES,YES
498,Dunleath,Dunleath,Dunleath,12-04-24 12:49,Sunrise,51.21,-102.21,YES,YES
499,Dunning,Dunning,Dunning,12-04-24 12:49,Sun Country,49.40,-104.05,YES,YES
500,Duperow,Duperow,Duperow,12-04-24 12:49,Heartland,51.98,-108.23,YES,YES
501,Duval,Duval,Duval,12-04-24 12:49,Saskatoon,51.15,-105.00,YES,YES
502,Dysart,Dysart,Dysart,12-04-24 12:49,Regina Qu'Appelle,50.95,-104.03,YES,YES
503,Earl Grey,Earl Grey,Earl Grey,12-04-24 12:49,Regina Qu'Appelle,50.93,-104.71,YES,YES
504,East Anglia,East Anglia,East Anglia,12-04-24 12:49,Prairie North,53.40,-108.46,YES,YES
505,East Chatfield Beach,East Chatfield Beach,East Chatfield Beach,12-04-24 12:49,Prairie North,53.06,-108.33,YES,YES
506,East Fairwell,East Fairwell,East Fairwell,12-04-24 12:49,Cypress,49.61,-109.10,YES,YES
507,East Poplar,East Poplar,East Poplar,12-04-24 12:49,Sun Country,49.06,-105.38,YES,YES
508,Eastend,Eastend,Eastend,12-04-24 12:49,Cypress,49.51,-108.81,YES,YES
509,Eastleigh,Eastleigh,Eastleigh,12-04-24 12:49,Five Hills,50.28,-106.20,YES,YES
510,Eastview,Eastview,Eastview,12-04-24 12:49,Five Hills,50.43,-105.28,YES,YES
511,Eatonia,Eatonia,Eatonia,12-04-24 12:49,Heartland,51.21,-109.38,YES,YES
512,Ebenezer,Ebenezer,Ebenezer,12-04-24 12:49,Sunrise,51.36,-102.45,YES,YES
513,Echo Bay,Echo Bay,Echo Bay,12-04-24 12:49,Prince Albert Parkland,53.21,-107.13,YES,YES
514,Eckner,Eckner,Eckner,12-04-24 12:49,Prairie North,54.15,-108.31,YES,YES
515,Edam,Edam,Edam,12-04-24 12:49,Prairie North,53.18,-108.76,YES,YES
516,Edenwold,Edenwold,Edenwold,12-04-24 12:49,Regina Qu'Appelle,50.63,-104.25,YES,YES
517,Edfield,Edfield,Edfield,12-04-24 12:49,Sunrise,51.76,-103.53,YES,YES
518,Edgeley,Edgeley,Edgeley,12-04-24 12:49,Regina Qu'Appelle,50.63,-103.98,YES,YES
519,Edgell,Edgell,Edgell,12-04-24 12:49,Cypress,49.83,-109.01,YES,YES
520,Edgeworth,Edgeworth,Edgeworth,12-04-24 12:49,Sun Country,49.73,-104.95,YES,YES
521,Edmore,Edmore,Edmore,12-04-24 12:49,Sunrise,51.56,-103.58,YES,YES
522,Edzell,Edzell,Edzell,12-04-24 12:49,Saskatoon,52.18,-106.76,YES,YES
523,Elbourne,Elbourne,Elbourne,12-04-24 12:49,Regina Qu'Appelle,51.13,-104.63,YES,YES
524,Elbow,Elbow,Elbow,12-04-24 12:49,Five Hills,51.11,-106.58,YES,YES
525,Elbow Lake,Elbow Lake,Elbow Lake,12-04-24 12:49,Kelsey Trail,52.48,-101.71,YES,YES
526,Elcott,Elcott,Elcott,12-04-24 12:49,Sun Country,49.05,-102.30,YES,YES
527,Eldersley,Eldersley,Eldersley,12-04-24 12:49,Kelsey Trail,52.86,-103.81,YES,YES
528,Eldorado,Eldorado,Eldorado,12-04-24 12:49,Athabasca Health Authority,59.55,-108.50,YES,YES
529,Eldred,Eldred,Eldred,12-04-24 12:49,Prince Albert Parkland,53.58,-106.96,YES,YES
530,Elfros,Elfros,Elfros,12-04-24 12:49,Saskatoon,51.75,-103.86,YES,YES
531,Elk Hill,Elk Hill,Elk Hill,12-04-24 12:49,Kelsey Trail,53.28,-104.21,YES,YES
532,Ellisboro,Ellisboro,Ellisboro,12-04-24 12:49,Regina Qu'Appelle,50.53,-103.23,YES,YES
533,Elm Springs,Elm Springs,Elm Springs,12-04-24 12:49,Five Hills,49.36,-106.20,YES,YES
534,Elmhurst,Elmhurst,Elmhurst,12-04-24 12:49,Prairie North,53.65,-108.73,YES,YES
535,Elmore,Elmore,Elmore,12-04-24 12:49,,49.00,-101.63,YES,YES
536,Elrose,Elrose,Elrose,12-04-24 12:49,Heartland,51.20,-108.03,YES,YES
537,Elstow,Elstow,Elstow,12-04-24 12:49,Saskatoon,51.98,-106.06,YES,YES
538,Emma Lake,Emma Lake,Emma Lake,12-04-24 12:49,Prince Albert Parkland,53.56,-105.88,YES,YES
